image_id,sequence,sha256,width,height,original_name,docx_media_path,extracted_path,previous_text,next_text,nearest_heading
nb_img_036,36,c677691957ccd19d72e772f46758e9fdf28bc8f9dfe400aeefbb0bfa9c5254f5,391,153,image38.jpeg,word/media/image38.jpeg,_work/correction/extract/notebook_images/notebook_img_036_image38.jpeg,"Çin, G.Kore ve Japonya’nın hidrojen-temiz enerji yatırım açıklamaları.",Benzer şekilde ABD de 2050 yılına kadar ‘%100 Temiz Enerji Ekonomi’ hedefine ulaşmak için 1.7 Trilyon dolarlık yatırım yapmayı vaat etmiş. (4 Temmuz 2019),"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_037,37,13bd5be11240f2cfc57f6ca532969451074b799a3db2fcdfa607575427a711e8,534,167,image39.jpeg,word/media/image39.jpeg,_work/correction/extract/notebook_images/notebook_img_037_image39.jpeg,"Çin, G.Kore ve Japonya’nın hidrojen-temiz enerji yatırım açıklamaları.",Benzer şekilde ABD de 2050 yılına kadar ‘%100 Temiz Enerji Ekonomi’ hedefine ulaşmak için 1.7 Trilyon dolarlık yatırım yapmayı vaat etmiş. (4 Temmuz 2019),"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_038,38,e13bee3929310d41ba15ed5af1fe62046cad5c9043bed46c5711a3806efee858,163,150,image40.jpeg,word/media/image40.jpeg,_work/correction/extract/notebook_images/notebook_img_038_image40.jpeg,Benzer şekilde ABD de 2050 yılına kadar ‘%100 Temiz Enerji Ekonomi’ hedefine ulaşmak için 1.7 Trilyon dolarlık yatırım yapmayı vaat etmiş. (4 Temmuz 2019),.,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_039,39,6cc8cb3d12aeebbee259e2d3fbd128b969067b5cdd3bf8f76b2e850d6fea386b,849,453,image41.JPG,word/media/image41.JPG,_work/correction/extract/notebook_images/notebook_img_039_image41.JPG,"‘NREL’ adı ve logosunu daha önce, Delftx Üniversitesi’ndeki Solar Energy ET3034TUx dersine çalışırken de görmüştüm.",O dersten bir ekran görüntüsü. ‘NREL Chart’ 2014 yılına ait.,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_040,40,8f74074c28a085a9bb61a2588c8b813b545d40cf153f4e01774c15eab7eb8734,1016,637,image42.JPG,word/media/image42.JPG,_work/correction/extract/notebook_images/notebook_img_040_image42.JPG,O dersten bir ekran görüntüsü. ‘NREL Chart’ 2014 yılına ait.,Dikey eksen: Güneş hücresinin verimlilik yüzdesi.,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_041,41,9afbf152a18479fe2e5bbce553a30cffe68aad9db9d0039c225932c241c23376,1367,709,image43.JPG,word/media/image43.JPG,_work/correction/extract/notebook_images/notebook_img_041_image43.JPG,2022 yılına ait güncel PV Hücresi etkinlik çizelgesi,"Ayrıca, NREL’in sitesinden güncel çizelgeyi indirdiğimde [19] ; fark ettiğim, olumlu değişimi de vurgulamak istiyorum.","KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_042,42,09459530ca7c447dbc71996e7b2c6647d324cd635d82315611a4d794f5819946,541,328,image44.jpeg,word/media/image44.jpeg,_work/correction/extract/notebook_images/notebook_img_042_image44.jpeg,"Biraz internet araması yaptıktan sonra gerçekten de çok küçük nükleer reaktörlerin var olduğu, henüz arabalarda, kamyonlarda kullanılmıyor olsa da Alaska gibi merkezden uzak yerlerde elektrik için kullanımda olduğunu okudum/dinledim. [21]…","Zannedersem, bu türden nükleer yakıtlı araçlar, hiçbir zaman sivil kullanıma açılmaz. Gübre yapımında kullanılan birtakım maddeler bile yasak ya da kontrollü iken [24], nükleer yakıtlı kamyonu, hiçbir vatandaşa hatta ülkeye vermezler. Ters…","KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_043,43,3bfe85385989f452002b3cd61d2d4467cc58d0147101918c635b89793ee97c91,431,324,image45.jpeg,word/media/image45.jpeg,_work/correction/extract/notebook_images/notebook_img_043_image45.jpeg,"Biraz internet araması yaptıktan sonra gerçekten de çok küçük nükleer reaktörlerin var olduğu, henüz arabalarda, kamyonlarda kullanılmıyor olsa da Alaska gibi merkezden uzak yerlerde elektrik için kullanımda olduğunu okudum/dinledim. [21]…","Zannedersem, bu türden nükleer yakıtlı araçlar, hiçbir zaman sivil kullanıma açılmaz. Gübre yapımında kullanılan birtakım maddeler bile yasak ya da kontrollü iken [24], nükleer yakıtlı kamyonu, hiçbir vatandaşa hatta ülkeye vermezler. Ters…","KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_044,44,5d3f6228af52b5d0b86fdddf44739cc3d109f611f7025df80d17bfdadae31d1e,904,507,image46.JPG,word/media/image46.JPG,_work/correction/extract/notebook_images/notebook_img_044_image46.JPG,"İmza, Kaşe","Arabanın içindeyiz.Hidrojen depomuzu doldurduk.H, doğrudan bir enerji kaynağı değildir. O yüzden, Hidrojeni, arabanın içinde bulunan ‘Fuel Cell Stack’ cihazı (pahalı ) ile elektriğe çevireceğiz. Bu işlem; girdi-çıktı ilişkisi bakımından, E…","KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_045,45,4b0f2cb3a080b4dfd635ab4e425970db4ac696b48950891f2a61e2546c75c18b,814,440,image47.jpg,word/media/image47.jpg,_work/correction/extract/notebook_images/notebook_img_045_image47.jpg,"Boru hatları ile istasyonlara taşındı. Arabalara, hidrojeni buralardan dolduruyoruz. 2021 itibari ile 685 adet dolum ist. var. [38]Ülkemizde henüz yok.Boru hatları ile istasyonlara taşındı. Arabalara, hidrojeni buralardan dolduruyoruz. 202…",İŞ YAPRAĞI,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
